name, x, y, z
lever1_hinge,171.7926,123.912, 45.05626
lever1_hinge_world,-1.183237,11.509,16.60276
lever2_hinge,92.80032,81.51419, 43.69033
lever2_hinge_world,6.346423,15.25628,16.90804
ladle_hinge,62.27522,107.981, 42.88873
ladle_hinge_world,9.093559,12.74687,17.01942
ladle_tip,59.34789,133.2762, 42.65854
ladle_tip_world,9.328922,10.46733,17.02896
springhinge2,100.4659,70.02641, 43.88912
springhinge2_world,5.647528,16.34333,16.92074
springhinge1,135.6364,81.49033, 44.54779
springhinge1_world,2.326364,15.40876,16.78609
body_back,225.4497,127.4397, 45.77048
body_back_world,-6.437354,11.234,16.82009
